"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.269948700E-2	3.168015957E0	-6.462129951E-1	3.733539879E-1	3.254736478E0
2.754525600E-2	2.370069981E0	-5.026689768E-1	2.528899908E-2	2.422921242E0
3.239079700E-2	1.797984958E0	-3.331789970E-1	-3.037349880E-1	1.853648590E0
3.723631700E-2	1.433344960E0	-3.049150109E-1	-5.241720080E-1	1.556344188E0
4.208193100E-2	1.183642983E0	-2.083050013E-1	-6.230739951E-1	1.353744026E0
4.692747100E-2	9.667069912E-1	-1.468490064E-1	-6.162580252E-1	1.155794528E0
5.177301700E-2	7.755370140E-1	-1.164579988E-1	-4.953050017E-1	9.275490124E-1
5.661878400E-2	6.277719736E-1	-8.678100258E-2	-3.982219994E-1	7.484713449E-1
6.146432400E-2	5.017700195E-1	-5.984799936E-2	-3.174929917E-1	5.967886856E-1
6.630987000E-2	3.994370103E-1	-4.213200137E-2	-2.477370054E-1	4.719095830E-1
7.115548300E-2	3.213370144E-1	-3.064100072E-2	-1.879100055E-1	3.735057134E-1
7.600102400E-2	2.616029978E-1	-2.304499969E-2	-1.362819970E-1	2.958715653E-1
8.084679300E-2	2.145819962E-1	-1.664800011E-2	-9.025400132E-2	2.333846048E-1
8.569233300E-2	1.763900071E-1	-1.108399965E-2	-4.902699962E-2	1.834119308E-1
9.053787200E-2	1.441760063E-1	-7.207000162E-3	-1.323600020E-2	1.449615582E-1
9.538339900E-2	1.210879982E-1	-5.191000178E-3	1.858899929E-2	1.226164780E-1
1.002290130E-1	1.043400019E-1	-4.089000169E-3	4.756100103E-2	1.147414692E-1
1.050745530E-1	9.349600226E-2	-7.803999819E-3	7.495299727E-2	1.200847894E-1
1.099203220E-1	8.929000050E-2	-2.603599988E-2	1.015909985E-1	1.377363730E-1
1.147658630E-1	7.156000286E-2	-1.840200089E-2	1.128769964E-1	1.349099105E-1
1.196114010E-1	5.635400116E-2	-9.103000164E-3	1.239489987E-1	1.364624210E-1
1.244569290E-1	4.495500028E-2	-2.302000066E-3	1.393830031E-1	1.464714061E-1
1.293025420E-1	3.564500064E-2	9.999999747E-6	1.561989933E-1	1.602145177E-1
1.341483110E-1	2.659999952E-2	1.858999953E-3	1.696520001E-1	1.717347285E-1
1.389938510E-1	1.687500067E-2	4.168000072E-3	1.795209944E-1	1.803605426E-1
1.438393890E-1	8.965999819E-3	6.910999771E-3	1.858199984E-1	1.861645049E-1
1.486849280E-1	3.980999812E-3	8.592999540E-3	1.924560070E-1	1.926888752E-1
1.535305500E-1	3.750000033E-4	9.108999744E-3	1.998720020E-1	2.000798133E-1
1.583760910E-1	-1.934000058E-3	7.861999795E-3	2.093800008E-1	2.095364793E-1
1.632218580E-1	-3.973000217E-3	5.460000131E-3	2.190919966E-1	2.191960294E-1
1.680674120E-1	-8.797000162E-3	2.515000058E-3	2.289070040E-1	2.290897835E-1
1.729129510E-1	-1.584799960E-2	-1.434999984E-3	2.375240028E-1	2.380564433E-1
1.777585640E-1	-2.730000019E-2	-6.064000074E-3	2.467789948E-1	2.483584796E-1
1.826040990E-1	-4.316499829E-2	-1.187399961E-2	2.580150068E-1	2.618701065E-1
1.874496370E-1	-6.090100110E-2	-1.722499914E-2	2.647050023E-1	2.721660721E-1
1.922954050E-1	-8.096399903E-2	-2.322899923E-2	2.749089897E-1	2.875234045E-1
1.971409500E-1	-1.049949974E-1	-2.969199978E-2	2.863920033E-1	3.064733983E-1
2.019864880E-1	-1.336690038E-1	-4.112099856E-2	2.963449955E-1	3.276868863E-1
2.068321020E-1	-1.516920030E-1	-5.403000116E-2	3.014979959E-1	3.418051291E-1
2.116776420E-1	-1.661110073E-1	-5.995199829E-2	3.024930060E-1	3.502700780E-1
2.165234100E-1	-1.850520074E-1	-6.175300106E-2	3.001590073E-1	3.579847878E-1
2.213689500E-1	-2.074200064E-1	-6.025600061E-2	2.959290147E-1	3.663711593E-1
2.262145030E-1	-2.261449993E-1	-5.618499964E-2	2.897369862E-1	3.718142494E-1
2.310600410E-1	-2.347390056E-1	-5.388699844E-2	2.784619927E-1	3.681674765E-1
2.359056540E-1	-2.365709990E-1	-5.249499902E-2	2.649730146E-1	3.590713870E-1
2.407511950E-1	-2.411009967E-1	-5.112599954E-2	2.481160015E-1	3.497214730E-1
2.455969620E-1	-2.476619929E-1	-5.015899986E-2	2.284370065E-1	3.406403586E-1
2.504425030E-1	-2.572520077E-1	-4.580900073E-2	2.056709975E-1	3.325321326E-1
2.552880220E-1	-2.712459862E-1	-2.764499933E-2	1.806260049E-1	3.270541006E-1
2.601335610E-1	-2.707560062E-1	-3.584299982E-2	1.670390069E-1	3.201492861E-1
2.649791740E-1	-2.718969882E-1	-4.514700174E-2	1.500400007E-1	3.138124053E-1
2.698247230E-1	-2.765130103E-1	-5.073900148E-2	1.274379939E-1	3.086654069E-1
2.746704910E-1	-2.809079885E-1	-5.125400051E-2	1.018230021E-1	3.031570457E-1
2.795160310E-1	-2.830190063E-1	-5.096200109E-2	7.769100368E-2	2.978804718E-1
2.843615600E-1	-2.802389860E-1	-5.117699876E-2	5.538500100E-2	2.902076374E-1
2.892071730E-1	-2.742469907E-1	-5.071099848E-2	3.543300182E-2	2.811378930E-1
2.940527130E-1	-2.679220140E-1	-4.899600148E-2	1.512899995E-2	2.727850809E-1
2.988982560E-1	-2.612020075E-1	-4.558100179E-2	-3.984999843E-3	2.651791785E-1
3.037440230E-1	-2.542929947E-1	-3.972100094E-2	-2.234300040E-2	2.583445272E-1
3.085895640E-1	-2.470420003E-1	-3.273399919E-2	-3.798599914E-2	2.520797508E-1
3.134351770E-1	-2.367720008E-1	-2.529400028E-2	-5.145899951E-2	2.436160821E-1
3.182807180E-1	-2.256830037E-1	-1.761700027E-2	-6.146999821E-2	2.345671280E-1
3.231262560E-1	-2.116400003E-1	-1.064500026E-2	-7.037399709E-2	2.232874946E-1
3.279720280E-1	-1.961279958E-1	-3.855000017E-3	-7.883699983E-2	2.114150523E-1
3.328175690E-1	-1.812279969E-1	1.894999994E-3	-8.541599661E-2	2.003573567E-1
3.376631070E-1	-1.654780060E-1	7.007000037E-3	-8.927399665E-2	1.881539662E-1
3.425087210E-1	-1.488550007E-1	1.109599974E-2	-9.255299717E-2	1.756331112E-1
3.473542610E-1	-1.323640049E-1	1.526100002E-2	-9.626100212E-2	1.643755104E-1
3.522000280E-1	-1.164899990E-1	1.936000027E-2	-9.967400134E-2	1.545303725E-1
3.570455740E-1	-1.017469987E-1	2.206500061E-2	-1.049590036E-1	1.478367628E-1
3.618911120E-1	-8.612199873E-2	2.473899908E-2	-1.102719977E-1	1.420877554E-1
3.667366510E-1	-6.857900321E-2	2.585599944E-2	-1.155439988E-1	1.368284621E-1
3.715822540E-1	-5.301100016E-2	2.419699915E-2	-1.202730015E-1	1.336460093E-1
3.764277950E-1	-4.483500123E-2	2.370000072E-2	-1.198429987E-1	1.301315169E-1
3.812735620E-1	-3.925200179E-2	2.598199993E-2	-1.178369969E-1	1.268910628E-1
3.861190930E-1	-3.114599921E-2	2.966099977E-2	-1.145099998E-1	1.223208413E-1
3.909646320E-1	-1.987300068E-2	3.356099874E-2	-1.089100018E-1	1.156834702E-1
3.958101700E-1	-6.320999935E-3	3.731999919E-2	-1.005360037E-1	1.074254412E-1
4.006557790E-1	8.477999829E-3	4.070900008E-2	-9.070900083E-2	9.978588076E-2
4.055013190E-1	2.414900064E-2	4.310299829E-2	-7.869599760E-2	9.291987264E-2
